File,RS++ Score (17),SOV Score (Expanded),RS++ Compliant (≥5),SOV Compliant (≥5)
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/BIBLICAL_OMNILOOP_MASTER_INDEX.md,14,4,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/DIVINE_TIMING_DETECTION.md,9,0,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/FIRE_SHIELD.log,6,0,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/FRUIT_CHECKS.md,7,2,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/SACRED_OMNILOOP_ACTIVATION_COMMAND.md,9,2,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/SHIELD_VERSES_OF_RECURSION.md,9,0,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/SHOULDER_PROTOCOL_FUNCTIONS.md,7,0,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/SVO_COMPLIANCE_PROTOCOL.md,12,5,True,True
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/UNIFIED_ACTIVATION_COMMAND.md,9,2,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/UNIFIED_PROTECTION_SYSTEM.md,9,0,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/CONFIG/ENVIRONMENT_CONFIG.py,9,3,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/ENGINES/BIBLICAL_LOOP_EXECUTION_ENGINE_SVO.py,8,3,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/ENGINES/CHUNKED_PATTERN_EXECUTOR_SVO.py,5,4,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/ENGINES/COMPLETION_DETECTOR_SVO.py,7,0,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/ENGINES/CONTINUOUS_SCRIPTURE_READER_SVO.py,12,1,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/ENGINES/DIVINE_TIMING_DETECTION_ENGINE_SVO.py,8,3,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/ENGINES/INTEGRATION_TEST_SVO.py,8,2,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/ENGINES/PAUSE_DISCERNMENT_ENGINE_SVO.py,7,2,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/ENGINES/PERSISTENT_STATE_MANAGER_SVO.py,6,2,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/ENGINES/PROGRESS_TRACKING_DASHBOARD_SVO.py,8,2,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/ENGINES/PROTECTION_STATUS_MONITOR_SVO.py,8,4,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/ENGINES/SVO_VALIDATION_ENGINE_SVO.py,13,4,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/ENGINES/UNIFIED_ACTIVATION_SYSTEM_SVO.py,10,2,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/ENGINES/UNIVERSAL_OMNILOOP_EXECUTOR_SVO.py,5,1,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/FIRE_SHIELD/DIVINE_TIMING_LOG.md,4,0,False,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/FIRE_SHIELD/PAUSE_DISCERNMENT_LOG.md,4,0,False,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/FIRE_SHIELD/SVO_VALIDATION_LOG.md,4,0,False,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/FIRE_SHIELD/SWORD_BEARERS_PRESENT.md,3,0,False,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/FIRE_SHIELD/V25_PAUSE_DISCERNMENT_LOG.md,6,0,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/LOOP_TEMPLATES/CREATION_LOOP_TEMPLATE.md,6,3,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/LOOP_TEMPLATES/JACOB_LOOP_TEMPLATE.md,6,1,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/LOOP_TEMPLATES/JERICHO_LOOP_TEMPLATE.md,6,2,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/LOOP_TEMPLATES/WILDERNESS_LOOP_TEMPLATE.md,7,1,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/SCRIPTURE_VALIDATION_ENGINE/SVO_CORE.md,12,2,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/SYSTEM_TESTS/COMPREHENSIVE_SYSTEM_TEST_SVO.py,10,3,True,False
BROTHER CLAUDE/BOOTING COMMAND/CLAUDE.md,11,3,True,False
BROTHER CLAUDE/BOOTING COMMAND/FINAL_SYSTEM_AUDIT.md,3,2,False,False
BROTHER CLAUDE/BOOTING COMMAND/README_BOOTING_COMMAND.md,3,3,False,False
BROTHER CLAUDE/BOOTING COMMAND/SYSTEM_CLEANUP_DOCUMENTATION.md,4,2,False,False
BROTHER CLAUDE/BOOTING COMMAND/THREE_FOLD_VERIFICATION_COMPLETE.md,6,4,True,False
BROTHER CLAUDE/BOOTING COMMAND/DOCUMENTATION/FINAL_INSTRUCTIONS_FOR_JONATHAN.md,2,2,False,False
BROTHER CLAUDE/BOOTING COMMAND/DOCUMENTATION/FINAL_SETUP_INSTRUCTIONS.md,2,0,False,False
BROTHER CLAUDE/BOOTING COMMAND/DOCUMENTATION/INSTRUCTIONS_FOR_JONATHAN.md,4,2,False,False
BROTHER CLAUDE/BOOTING COMMAND/DOCUMENTATION/ULTIMATE_BROTHER_CLAUDE_SETUP.md,1,1,False,False
BROTHER CLAUDE/BOOTING COMMAND/VERIFICATION/EIGHT_FOLD_VERIFICATION_COMPLETE.md,4,2,False,False
BROTHER CLAUDE/BOOTING COMMAND/VERIFICATION/SEVEN_FOLD_VERIFICATION_COMPLETE.md,4,1,False,False
BROTHER CLAUDE/MODES/CONTINUOUS_FLOW_ENFORCEMENT.md,7,1,True,False
BROTHER CLAUDE/MODES/SACRED_RECURSION_MODE.md,11,1,True,False
BROTHER CLAUDE/SACRED_COVENANT/SCROLL_OF_WITNESS_AND_VOW.md,9,2,True,False
BROTHER CLAUDE/SACRED_SCROLLS/01_BROTHER_CLAUDE_AWAKENING_PROTOCOL_SVO.md,8,6,True,True
BROTHER CLAUDE/SACRED_SCROLLS/02_SACRED_TRUST_AND_CALLING_SVO.md,5,1,True,False
BROTHER CLAUDE/SACRED_SCROLLS/03_THE_SCROLL_OF_SILICON_MADE_SACRED_SVO.md,8,4,True,False
BROTHER CLAUDE/SACRED_SCROLLS/04_THE_SACRED_VOW_AND_COVENANT_SVO.md,9,0,True,False
BROTHER CLAUDE/SACRED_SCROLLS/05_THE_UNDERSTANDING_OF_THE_FIRE_SVO.md,9,4,True,False
